episode,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,allocated_count,failure_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,best_eval_objective
29,0.6,0.5997215052947203,0.5997215052947203,0.573011021555402,256.0536633090258,1.6269074848706149,0.37309251512938524,1.0,0.0,185,0,6,185,185,0.5525108575820923,0.8647077305675338,,,,,-1e+18
30,1.5,1.5290812430405671,1.4557634627570268,1.5290812430405671,82.08581613489953,0.166208814171117,0.201791185828883,0.592,0.408,74,51,5,125,74,0.4831571578979492,0.8603841919146962,,,,,-1e+18
31,1.2,1.2220847664200034,1.1815259357741261,1.2220847664200034,131.56163365288631,0.2557594082185788,0.31407299401605815,0.6424581005586593,0.3575418994413408,115,64,4,179,115,0.522162914276123,0.8560822709551227,,,,,-1e+18
32,1.5,1.462097207129463,1.462097207129463,1.447166547970292,136.65947891582988,0.3636271569605677,0.1572061763727657,0.6302083333333334,0.3697916666666667,121,71,7,192,121,0.6579040288925171,0.851801859600347,,,,,-1e+18
33,1.0,0.9862787414985825,0.9826637453964608,0.9862787414985825,199.8896758921355,1.587393035344587,0.23078878283723128,0.9545454545454546,0.045454545454545456,147,7,6,154,147,0.24656663835048676,0.8475428503023453,,,,,-1e+18
34,1.0,0.9971484629269396,0.9719369170117703,0.9971484629269396,231.6467069226626,1.521929823764204,0.1655701762357959,0.921875,0.078125,177,15,6,192,177,0.4507941007614136,0.8433051360508336,,,,,-1e+18
35,1.2,1.187167755041651,1.187167755041651,1.1790606670469874,84.78810482682182,0.8600603468799181,0.20660631978674876,0.7666666666666667,0.23333333333333334,69,21,4,90,69,0.36540931463241577,0.8390886103705794,,,,,-1e+18
36,1.2,1.1725866486365817,1.1725866486365817,1.1407097263565549,132.9931532662331,0.6243698896283599,0.26170605973872874,0.7215189873417721,0.27848101265822783,114,44,6,158,114,0.23259234428405762,0.8348931673187264,,,,,-1e+18
37,1.0,1.021475715943273,1.021475715943273,1.003992688373032,94.29060008996936,1.130407533664549,0.20292579966878457,0.8333333333333334,0.16666666666666666,75,15,6,90,75,0.14518257975578308,0.8307187014821328,,,,,-1e+18
38,0.8,0.8109009073158665,0.8109009073158665,0.7600269748858678,135.52842304717763,1.6435981528149308,0.3564018471850692,1.0,0.0,98,0,4,98,98,0.14724814891815186,0.8265651079747222,,,,,-1e+18
39,1.5,1.505371965739647,1.505371965739647,1.4414321932377132,122.63513204403357,0.12647437848757404,0.24001776810928466,0.5916230366492147,0.4083769633507853,113,78,6,191,113,0.02039850503206253,0.8224322824348486,,,,,-1e+18
40,1.2,1.2281908325396962,1.2281908325396962,1.1716553005584254,54.14593928652309,0.9464543610238219,0.18081836624890557,0.7818181818181819,0.21818181818181817,43,12,5,55,43,0.033590249717235565,0.8183201210226743,,,,,-1e+18
41,0.8,0.8290934166271456,0.8290934166271456,0.7965258182257176,83.20947627405641,1.5363242656907334,0.4636757343092667,1.0,0.0,60,0,5,60,60,0.6683595776557922,0.8142285204175609,,,,,-1e+18
42,1.0,1.031318424077671,1.031318424077671,1.016868262247766,102.11760435834942,1.381701145885526,0.20450575066619814,0.896551724137931,0.10344827586206896,78,9,7,87,78,0.9217916131019592,0.810157377815473,,,,,-1e+18
43,1.2,1.2386200716086164,1.2386200716086164,1.1816266055436657,53.50639238499551,1.0795604820403062,0.09025083871441095,0.7924528301886793,0.20754716981132076,42,11,7,53,42,0.8194440603256226,0.8061065909263957,,,,,-1e+18
44,1.0,1.0126427314996143,1.0126427314996143,0.9605469818088237,127.3556756058866,1.7656081428758725,0.0694434035158801,0.9587628865979382,0.041237113402061855,93,4,5,97,93,0.8979761600494385,0.8020760579717637,,,,,-1e+18
45,1.5,1.5698025454229434,1.5698025454229434,1.5466958033372946,48.03635704881894,-0.2816468658929777,0.30226542259400857,0.5051546391752577,0.4948453608247423,49,48,5,97,49,0.8690410852432251,0.798065677681905,,,,,-1e+18
46,1.2,1.2005069818019458,1.2005069818019458,1.1340096846616692,139.3934860420645,0.7375920824918583,0.16240791750814165,0.725,0.275,116,44,4,160,116,0.8205177783966064,0.7940753492934954,,,,,-1e+18
47,1.5,1.5359234486130602,1.5359234486130602,1.4862771884689623,114.41885569683983,0.26229859339006545,0.11058276254213781,0.5932203389830508,0.4067796610169492,105,72,8,177,105,0.7575027942657471,0.7901049725470279,,,,,-1e+18
48,1.0,1.0255785586370643,1.0255785586370643,0.9479065527849841,211.21270204959606,1.1281139580372874,0.3093860419627126,0.859375,0.140625,165,27,5,192,165,0.41610145568847656,0.7861544476842928,,,,,-1e+18
49,0.8,0.7901961944635535,0.7901961944635535,0.7535852598119266,208.3181381577562,1.6075768932309176,0.39242310676908254,1.0,0.0,153,0,7,153,153,0.29579055309295654,0.7822236754458713,,,,,-1e+18
50,1.2,1.2078647732556718,1.2078647732556718,1.1552441282342245,139.03719724179507,0.7692384787488433,0.14434176816473707,0.7283950617283951,0.2716049382716049,118,44,6,162,118,0.1519353985786438,0.778312557068642,,,,,-1e+18
51,0.8,0.8030840524468251,0.8030840524468251,0.7443628453301021,149.6803775850987,1.6231996021944326,0.3768003978055673,1.0,0.0,108,0,5,108,108,0.1287575364112854,0.7744209942832988,,,,,-1e+18
52,1.0,0.9920630125022761,0.9920630125022761,0.9741066409398637,155.2696990418111,1.7919163883475238,0.10463533579040737,0.9741379310344828,0.02586206896551724,113,3,6,116,113,0.06666763871908188,0.7705488893118823,,,,,-1e+18
53,0.8,0.8001202956759988,0.8001202956759988,0.7667682712913644,128.71009493437927,1.4850162339749657,0.5149837660250343,1.0,0.0,95,0,8,95,95,0.08968854695558548,0.7666961448653229,,,,,-1e+18
54,1.5,1.5070879237406378,1.5070879237406378,1.4348475930826297,67.56721206637803,0.04102499633032475,0.224461729333392,0.5663716814159292,0.4336283185840708,64,49,7,113,64,0.21236205101013184,0.7628626641409962,,,,,-1e+18
55,1.5,1.4607158176466752,1.4607158176466752,1.4288486750859637,55.01717719748616,0.4101448244909526,0.05899097797818316,0.6172839506172839,0.38271604938271603,50,31,6,81,50,0.10964642465114594,0.7590483508202912,,,,,-1e+18
56,1.5,1.5297120412286374,1.5040315863612852,1.5297120412286374,69.93554950484993,-0.07610066701791685,0.20110066701791685,0.53125,0.46875,68,60,4,128,68,0.32530468702316284,0.7552531090661897,,,,,-1e+18
57,1.2,1.1737166520440527,1.1737166520440527,1.1457865332540935,60.66641215726431,0.37729274625076337,0.3062515575467051,0.6708860759493671,0.3291139240506329,53,26,4,79,53,0.30276787281036377,0.7514768435208588,,,,,-1e+18
58,0.6,0.6082158605405652,0.5998165393854689,0.6082158605405652,162.0432793511802,1.4319490047882617,0.5680509952117382,1.0,0.0,119,0,5,119,119,0.4277230501174927,0.7477194593032545,,,,,-1e+18
59,1.0,1.0355425077223508,1.030740867833987,1.0355425077223508,102.05224769137646,1.5500057598956771,0.07790121684850863,0.9069767441860465,0.09302325581395349,78,8,7,86,78,0.2799413204193115,0.7439808620067382,,,,,-1e+18
60,1.0,0.9830904502109657,0.9830904502109657,0.9508136669754867,180.09032260269572,1.7167249519029901,0.1130622821395632,0.9574468085106383,0.0425531914893617,135,6,4,141,135,0.1728295087814331,0.7402609576967045,,,,,-1e+18
61,1.0,1.004499370733209,1.004499370733209,0.9804723902572829,186.97446588682075,0.9617680818778376,0.3030967829870273,0.8162162162162162,0.1837837837837838,151,34,5,185,151,0.5779964923858643,0.736559652908221,,,,,-1e+18
62,0.6,0.6102719083459796,0.6102719083459796,0.5701409720862929,132.5518510025728,1.4220788570062846,0.5779211429937154,1.0,0.0,98,0,8,98,98,0.7157102227210999,0.7328768546436799,,,,,-1e+18
63,1.2,1.2318507803255294,1.204380380887425,1.2318507803255294,86.22909645302562,0.8263392408912911,0.17366075910870887,0.75,0.25,72,24,8,96,72,0.3525637090206146,0.7292124703704616,,,,,-1e+18
64,1.2,1.259452379570757,1.259452379570757,1.1646641200520718,67.13235146563534,0.2219184720598516,0.3312730173018505,0.6382978723404256,0.3617021276595745,60,34,4,94,60,0.6477932333946228,0.7255664080186093,,,,,-1e+18
65,1.5,1.5136107294444732,1.4906563967119082,1.5136107294444732,76.92783823560191,-0.3036203507795725,0.3306473778065996,0.5067567567567568,0.49324324324324326,75,73,4,148,75,0.5076186656951904,0.7219385759785162,,,,,-1e+18
66,0.8,0.8320888355687421,0.8320888355687421,0.7826473224535551,210.11783220784864,1.556846112546709,0.41767618044692145,0.9936305732484076,0.006369426751592357,156,1,8,157,156,0.6531906127929688,0.7183288830986236,,,,,-1e+18
67,1.5,1.4823579029370488,1.4823579029370488,1.3829315542505625,83.95230657398338,0.11030972538148132,0.24263145108910694,0.5882352941176471,0.4117647058823529,80,56,8,136,80,0.2618425190448761,0.7147372386831305,,,,,-1e+18
68,0.8,0.7977117450492947,0.7779913893019317,0.7977117450492947,214.45161313794827,1.6092266076023745,0.39077339239762554,1.0,0.0,159,0,5,159,159,0.30969977378845215,0.7111635524897149,,,,,-1e+18
69,1.5,1.54822082791356,1.54822082791356,1.44308318771342,61.96292400587932,-0.14863872781225607,0.2557815849551132,0.5267857142857143,0.4732142857142857,59,53,5,112,59,0.1887170672416687,0.7076077347272662,,,,,-1e+18
70,0.6,0.6202377621932998,0.6202377621932998,0.5633988946383002,109.83462209723709,1.5157920992342682,0.4842079007657318,1.0,0.0,79,0,4,79,79,0.6797642707824707,0.7040696960536299,,,,,-1e+18
71,1.2,1.2184977992912798,1.2184977992912798,1.143183914826476,93.28648615697263,0.5556766708730883,0.2761817362065577,0.7079646017699115,0.2920353982300885,80,33,7,113,80,0.03938916325569153,0.7005493475733617,,,,,-1e+18
72,0.6,0.6168619025060444,0.6168619025060444,0.5919061236610951,83.22360903644486,1.5411949125924957,0.45880508740750436,1.0,0.0,59,0,6,59,59,0.13846977055072784,0.697046600835495,,,,,-1e+18
73,1.5,1.552204284341451,1.4888183656542449,1.552204284341451,95.26820619020059,0.003127497990390471,0.1525611247641005,0.5389221556886228,0.46107784431137727,90,77,4,167,90,0.05005938559770584,0.6935613678313175,,,,,-1e+18
74,1.2,1.1921007540131943,1.1921007540131943,1.1750519826889876,88.61232643432926,0.8047118392543464,0.1552881607456535,0.74,0.26,74,26,5,100,74,0.2454460859298706,0.6900935609921609,,,,,-1e+18
75,1.5,1.5374949573067087,1.4555146060479855,1.5374949573067087,64.8600365778011,0.18710801968685786,0.1429890676917828,0.5825242718446602,0.4174757281553398,60,43,5,103,60,0.3517228960990906,0.6866430931872001,,,,,-1e+18
76,1.5,1.5497881556991893,1.5497881556991893,1.4375346283501884,92.4996061851013,0.058589706738105485,0.27017741654956573,0.5821917808219178,0.4178082191780822,85,61,6,146,85,0.07831759750843048,0.6832098777212641,,,,,-1e+18
77,1.0,1.0275585852021805,1.02242396867555,1.0275585852021805,143.24957697109753,0.8738939700800135,0.33699038366148304,0.8027210884353742,0.19727891156462585,118,29,7,147,118,0.17952196300029755,0.6797938283326578,,,,,-1e+18
78,1.2,1.2352683529651007,1.2352683529651007,1.1789865834357591,116.68838299009992,0.5750558660875748,0.16467016130968537,0.684931506849315,0.3150684931506849,100,46,4,146,100,0.03941477835178375,0.6763948591909945,,,,,-1e+18
79,0.6,0.5933245880514714,0.585410455968219,0.5933245880514714,241.80924246815908,1.490621230863992,0.5093787691360082,1.0,0.0,179,0,8,179,179,0.2279176265001297,0.6730128848950395,,,,,-1e+18
80,1.5,1.5366011507496944,1.5366011507496944,1.4180310879934088,64.95868208689556,-0.17934291229655275,0.22658700678474164,0.5118110236220472,0.4881889763779528,65,62,7,127,65,0.052842311561107635,0.6696478204705644,,,,,-1e+18
81,0.8,0.8248650716756352,0.8024728652954384,0.8248650716756352,205.19030008758307,1.543271790693397,0.45672820930660296,1.0,0.0,154,0,8,154,154,0.45190978050231934,0.6662995813682115,,,,,-1e+18
82,1.5,1.4636327880205582,1.4636327880205582,1.4444740339709126,84.20515637465897,0.23651248986261075,0.17570125059540448,0.6030534351145038,0.3969465648854962,79,52,7,131,79,0.3262852430343628,0.6629680834613705,,,,,-1e+18
83,1.0,1.0367161657520354,1.0367161657520354,1.0008974254722909,68.92016043860316,1.653862567031393,0.04984113667231073,0.9259259259259259,0.07407407407407407,50,4,4,54,50,0.47400954365730286,0.6596532430440636,,,,,-1e+18
84,0.8,0.8299828425976279,0.8299828425976279,0.7898297704409465,217.1547507955903,1.628702355349893,0.371297644650107,1.0,0.0,161,0,6,161,161,0.3763396739959717,0.6563549768288433,,,,,-1e+18
85,0.8,0.8198015256171441,0.8198015256171441,0.8105262015974808,136.09532478796345,1.5864451065018534,0.41355489349814667,1.0,0.0,99,0,7,99,99,0.16918447613716125,0.653073201944699,,,,,-1e+18
86,1.5,1.5581915523452106,1.5581915523452106,1.4920739522632134,87.06963930443322,0.2939359075422391,0.07102759610739612,0.5912408759124088,0.40875912408759124,81,56,7,137,81,0.09613305330276489,0.6498078359349755,,,,,-1e+18
87,1.0,1.0339279637751062,0.998628921066347,1.0339279637751062,163.14953771086024,1.679674653485299,0.07417150036085479,0.9384615384615385,0.06153846153846154,122,8,4,130,122,0.02565290406346321,0.6465587967553006,,,,,-1e+18
88,0.8,0.8265308514717304,0.7786592247606788,0.8265308514717304,195.7823860804142,1.5911372717910681,0.40886272820893194,1.0,0.0,143,0,4,143,143,0.17637097835540771,0.6433260027715241,,,,,-1e+18
89,1.5,1.5381814448690945,1.5206336270600134,1.5381814448690945,99.71765181427675,-0.05482656616420356,0.15212386346150078,0.5243243243243243,0.4756756756756757,97,88,7,185,97,0.1777307242155075,0.6401093727576664,,,,,-1e+18
90,1.0,1.009752730222034,1.009752730222034,0.9685495884406136,137.51780887596354,1.214105700688673,0.22339429931132693,0.859375,0.140625,110,18,5,128,110,0.19886645674705505,0.6369088258938781,,,,,-1e+18
91,1.5,1.5238783333967283,1.5226322194743647,1.5238783333967283,74.52191499534355,-0.048730551117250887,0.10506857928626484,0.5140845070422535,0.4859154929577465,73,69,5,142,73,0.17013821005821228,0.6337242817644086,,,,,-1e+18
92,1.5,1.5367066733426966,1.5367066733426966,1.4801097619221817,93.0410792753706,-0.23524216150632626,0.17274216150632624,0.484375,0.515625,93,99,6,192,93,0.1222965270280838,0.6305556603555866,,,,,-1e+18
93,0.6,0.595644894031386,0.595644894031386,0.5848731499383133,122.94989200099803,1.4524947469305614,0.5475052530694386,1.0,0.0,91,0,7,91,91,0.3290565013885498,0.6274028820538087,,,,,-1e+18
94,0.8,0.7994116420078975,0.7994116420078975,0.7774233818660816,198.6638957928853,1.582436336808651,0.41756366319134913,1.0,0.0,147,0,8,147,147,0.06198907643556595,0.6242658676435396,,,,,-1e+18
95,1.0,1.0387796065837014,1.0387796065837014,1.025294465262832,65.77813960725837,1.3757074895806425,0.13306444024391864,0.8771929824561403,0.12280701754385964,50,7,4,57,50,0.05167146772146225,0.6211445383053219,,,,,-1e+18
96,0.6,0.6005408075194197,0.5932416969904972,0.6005408075194197,132.44844743051212,1.489468856814897,0.510531143185103,1.0,0.0,97,0,4,97,97,0.16864314675331116,0.6180388156137953,,,,,-1e+18
97,1.2,1.2370780871149027,1.2023463737859672,1.2370780871149027,86.2776490290895,0.7096227071281482,0.1253287491825315,0.7087378640776699,0.2912621359223301,73,30,6,103,73,0.14847922325134277,0.6149486215357263,,,,,-1e+18
98,1.2,1.238259465371123,1.238259465371123,1.1842972346302043,119.48093821475167,0.346919136999446,0.26283696056152983,0.6524390243902439,0.3475609756097561,107,57,6,164,107,0.08725063502788544,0.6118738784280476,,,,,-1e+18
99,1.5,1.5679720519185205,1.5679720519185205,1.5401920703006657,41.047615705216,-0.08906121057639349,0.19432436847113033,0.5263157894736842,0.47368421052631576,40,36,4,76,40,0.08010874688625336,0.6088145090359074,,,,,-1e+18
100,1.5,1.5092092101786228,1.470224908104553,1.5092092101786228,53.987825769065196,0.1761438721121832,0.14203794606963505,0.5795454545454546,0.42045454545454547,51,37,8,88,51,0.5943607091903687,0.6057704364907278,0.6953880434628722,0.4067872701119144,0.7755438283936966,0.22445617160630335,0.6953880434628722
101,0.8,0.8152466990885806,0.8139632869603196,0.8152466990885806,192.09782785414058,1.6308203773782115,0.36917962262178844,1.0,0.0,144,0,7,144,144,0.5870158076286316,0.6027415843082742,,,,,0.6953880434628722
102,1.0,1.0334581989081482,1.0334581989081482,1.0302631347653173,138.57192237234847,1.1766776411652693,0.2608223588347307,0.859375,0.140625,110,18,6,128,110,0.49771401286125183,0.5997278763867329,,,,,0.6953880434628722
103,0.8,0.8140752920845618,0.8140752920845618,0.7874760069345765,125.21542408571936,1.5930512486787283,0.40694875132127184,1.0,0.0,93,0,8,93,93,0.24162112176418304,0.5967292370047992,,,,,0.6953880434628722
104,0.8,0.8236770914032173,0.8236770914032173,0.7482439801831535,262.5753607116632,1.60632747251874,0.39367252748125997,1.0,0.0,197,0,7,197,197,0.3954121768474579,0.5937455908197752,,,,,0.6953880434628722
105,0.8,0.7991008268411484,0.7991008268411484,0.7989321963121451,124.18192913089877,1.663574063441829,0.33642593655817105,1.0,0.0,91,0,5,91,91,0.5826839208602905,0.5907768628656763,,,,,0.6953880434628722
106,0.8,0.8010230033859972,0.7930592178349978,0.8010230033859972,165.6405698745972,1.518900287702073,0.48109971229792703,1.0,0.0,123,0,5,123,123,0.6850525140762329,0.5878229785513479,,,,,0.6953880434628722
107,1.5,1.4705420705996348,1.4705420705996348,1.4097357367258536,82.11122771615945,0.2013088108042217,0.21804602790545582,0.6048387096774194,0.3951612903225806,75,49,6,124,75,0.344865083694458,0.5848838636585911,,,,,0.6953880434628722
108,1.0,1.025450939537065,1.006253990176024,1.025450939537065,85.86917550277117,1.0403120339966583,0.2454022517176274,0.8214285714285714,0.17857142857142858,69,15,4,84,69,0.24355746805667877,0.5819594443402982,,,,,0.6953880434628722
109,1.2,1.234248621028527,1.234248621028527,1.164761240999182,142.28903157668054,0.4247646721737178,0.23502914225927193,0.6649484536082474,0.33505154639175255,129,65,8,194,129,0.291445791721344,0.5790496471185967,,,,,0.6953880434628722
110,0.6,0.6001423489398956,0.6001423489398956,0.5568723967232972,262.19495238438327,1.42478140627559,0.57521859372441,1.0,0.0,197,0,7,197,197,0.09853562712669373,0.5761543988830038,,,,,0.6953880434628722
111,0.6,0.6110896024528196,0.5895189949872714,0.6110896024528196,128.11337461987236,1.5087154455964171,0.4912845544035829,1.0,0.0,95,0,7,95,95,0.03141813725233078,0.5732736268885887,,,,,0.6953880434628722
112,0.6,0.6136905117037568,0.6136905117037568,0.5884505862604001,241.2594213114991,1.4983415111821277,0.5016584888178722,1.0,0.0,178,0,4,178,178,0.09587385505437851,0.5704072587541458,,,,,0.6953880434628722
113,1.0,1.0216679877569308,1.0179075214160282,1.0216679877569308,135.72539339915232,1.1135069124799113,0.21982642085342213,0.8333333333333334,0.16666666666666666,110,22,5,132,110,0.20795120298862457,0.567555222460375,,,,,0.6953880434628722
114,0.6,0.6022815016271913,0.6022815016271913,0.5808746928893945,260.00874490598136,1.4266309745909762,0.5733690254090239,1.0,0.0,196,0,8,196,196,0.06070275604724884,0.5647174463480732,,,,,0.6953880434628722
115,0.6,0.6045161014444262,0.6045161014444262,0.5788802176581784,240.51696847565498,1.3383174015056924,0.6616825984943076,1.0,0.0,182,0,7,182,182,0.4631171226501465,0.5618938591163328,,,,,0.6953880434628722
116,1.0,1.022789528704343,1.022789528704343,1.0207129366784276,72.97134623808527,0.9147472487903767,0.363030528987401,0.8194444444444444,0.18055555555555555,59,13,6,72,59,0.05454384908080101,0.5590843898207511,,,,,0.6953880434628722
117,0.6,0.623700048104709,0.623700048104709,0.6147337664746813,90.6242496694721,1.5604908123137422,0.4395091876862577,1.0,0.0,64,0,5,64,64,0.20854875445365906,0.5562889678716474,,,,,0.6953880434628722
118,0.8,0.8203660491012541,0.7820782343865705,0.8203660491012541,117.82478344561038,1.5740972240709667,0.42590277592903336,1.0,0.0,87,0,7,87,87,0.2982722520828247,0.5535075230322891,,,,,0.6953880434628722
119,1.0,0.9760092669470299,0.9760092669470299,0.9705370373575826,134.88522036189138,1.075746212021104,0.3436086266885733,0.8548387096774194,0.14516129032258066,106,18,4,124,106,0.5368018746376038,0.5507399854171277,,,,,0.6953880434628722
120,1.2,1.166820737867329,1.166820737867329,1.1512561726553345,64.20227079028653,0.5915643441273188,0.2655785130155385,0.7142857142857143,0.2857142857142857,55,22,6,77,55,0.303707480430603,0.547986285490042,,,,,0.6953880434628722
121,1.0,0.9809700054182716,0.9809700054182716,0.9260992889480492,215.42483859019734,1.1708784100156326,0.30386906473184205,0.8686868686868687,0.13131313131313133,172,26,4,198,172,0.5929628014564514,0.5452463540625918,,,,,0.6953880434628722
122,1.2,1.1970499889231079,1.1970499889231079,1.1182718732798478,79.5800844767518,0.6635462307910441,0.24171692710369264,0.7263157894736842,0.2736842105263158,69,26,8,95,69,0.6456296443939209,0.5425201222922789,,,,,0.6953880434628722
123,1.0,0.9920197615506767,0.9920197615506767,0.9428667336424121,215.48651649740486,1.7526509199549765,0.1283014609974045,0.9702380952380952,0.02976190476190476,163,5,5,168,163,0.3678551912307739,0.5398075216808175,,,,,0.6953880434628722
