episode,train_batch_id,target_load,actual_load,memory_load,core_load,num_gpus,num_pods,reward,balance_score,success_rate,failure_rate,allocated_count,failure_count,objective,loss,epsilon,steps,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,best_eval_objective,best_episode,patience_counter
1,0,0.8,0.8214285714285714,0.8214285714285714,0.8214285714285714,3,14,10.274453957028266,0.41598399081441817,0.9285714285714286,0.0714285714285714,13,1,1.2983017234712961,0.0,0.995,13,,,,,,,0
2,1,0.8,0.8125,0.8125,0.5192307692307693,3,11,11.368272199546016,0.1937382233392701,1.0,0.0,11,0,1.8062617766607298,0.0,0.990025,11,,,,,,,0
3,2,0.8,0.8,0.6111111111111112,0.8,3,14,10.591619056595208,0.3716268632567439,1.0,0.0,14,0,1.6283731367432561,0.8629815578460693,0.985074875,14,,,,,,,0
4,3,0.8,0.8333333333333334,0.8333333333333334,0.59375,3,12,11.041329975280835,0.13787822714480658,1.0,0.0,12,0,1.8621217728551933,0.44569408893585205,0.9801495006250001,12,,,,,,,0
5,4,0.8,0.8125,0.8125,0.5147058823529411,3,13,8.731753919355896,0.6607942332487449,0.9230769230769231,0.07692307692307687,12,1,1.0315134590589476,0.7006621956825256,0.9752487531218751,12,,,,,,,0
6,5,0.8,0.8392857142857143,0.8392857142857143,0.5,3,10,8.129098796518818,0.43158790959074295,1.0,0.0,10,0,1.568412090409257,0.6999585628509521,0.9703725093562657,10,,,,,,,0
7,6,0.8,0.890625,0.890625,0.7692307692307693,3,14,12.010108471802749,0.31580291755896817,0.9285714285714286,0.0714285714285714,13,1,1.3984827967267464,0.6341361999511719,0.9655206468094844,13,,,,,,,0
8,7,0.8,0.8055555555555556,0.8055555555555556,0.7678571428571429,3,16,14.180554992037788,0.5400806548124406,1.0,0.0,16,0,1.4599193451875594,0.8730489015579224,0.960693043575437,16,,,,,,,0
9,8,0.8,0.8928571428571429,0.8928571428571429,0.625,3,11,9.704023414444599,0.16509217822089717,0.9090909090909091,0.09090909090909094,10,1,1.471271458142739,1.17951500415802,0.9558895783575597,10,,,,,,,0
10,9,0.8,0.8541666666666666,0.6625,0.8541666666666666,3,12,9.952093938408742,0.2818929609063373,1.0,0.0,12,0,1.7181070390936628,0.417415052652359,0.9511101304657719,12,,,,,,,0
11,0,0.8,0.8214285714285714,0.8214285714285714,0.8214285714285714,3,14,13.646639537686042,0.16888216650574078,1.0,0.0,14,0,1.8311178334942593,0.8172013759613037,0.946354579813443,14,,,,,,,0
12,1,0.8,0.8125,0.8125,0.5192307692307693,3,11,10.026817340542866,0.4247238640990784,1.0,0.0,11,0,1.5752761359009215,0.7368341684341431,0.9416228069143757,11,,,,,,,0
13,2,0.8,0.8,0.6111111111111112,0.8,3,14,11.681270421553005,0.38309953022990295,1.0,0.0,14,0,1.616900469770097,0.6787343621253967,0.9369146928798039,14,,,,,,,0
14,3,0.8,0.8333333333333334,0.8333333333333334,0.59375,3,12,11.64051654032683,0.22745848820786674,1.0,0.0,12,0,1.7725415117921333,0.9132286310195923,0.9322301194154049,12,,,,,,,0
15,4,0.8,0.8125,0.8125,0.5147058823529411,3,13,11.587169412637117,0.40295733267122735,1.0,0.0,13,0,1.5970426673287728,0.6206703186035156,0.9275689688183278,13,,,,,,,0
16,5,0.8,0.8392857142857143,0.8392857142857143,0.5,3,10,10.203700088444206,0.3459713056296163,1.0,0.0,10,0,1.6540286943703837,0.8229231834411621,0.9229311239742362,10,,,,,,,0
17,6,0.8,0.890625,0.890625,0.7692307692307693,3,14,12.794907718351581,0.34094845880354374,1.0,0.0,14,0,1.6590515411964564,0.4739832282066345,0.918316468354365,14,,,,,,,0
18,7,0.8,0.8055555555555556,0.8055555555555556,0.7678571428571429,3,16,10.733789419688222,0.5327183472445672,1.0,0.0,16,0,1.4672816527554327,0.7017964124679565,0.9137248860125932,16,,,,,,,0
19,8,0.8,0.8928571428571429,0.8928571428571429,0.625,3,11,8.289002487919884,0.36287729977375793,0.9090909090909091,0.09090909090909094,10,1,1.2734863365898783,0.6334547996520996,0.9091562615825302,10,,,,,,,0
20,9,0.8,0.8541666666666666,0.6625,0.8541666666666666,3,12,8.16991374323132,0.5185147375246951,1.0,0.0,12,0,1.4814852624753048,0.5416468381881714,0.9046104802746175,12,,,,,,,0
