variant,success,objective,balance,inter,intra,lowmid_success,lowmid_objective,lowmid_balance,conflict_success,conflict_objective,conflict_balance,conflict_intra
base_totaldelta_nojob,0.7326063007746836,0.4312870793781822,0.49913812372055255,0.24859096283948726,0.2505471608810652,0.8132983970597205,0.7428025930584714,0.5103909951804099,0.7854784328255472,0.580793821415063,0.5611199098871262,0.22405599439737986
final_trainrerank,0.7337829283533992,0.4404908960164923,0.4946408173971044,0.24009918966949803,0.2545416277276063,0.8208640481551044,0.7781767964798072,0.5052793961406103,0.8508950778835462,0.8397592506846813,0.5638210608495037,0.2433082988467029
jobfeatures,0.7267293802412307,0.4157197368643955,0.4911977841005272,0.23352105697425637,0.2576767271262708,0.8145424996125762,0.7590040409126001,0.49916595753770404,0.8208366554789661,0.7042567928616151,0.5790898290542488,0.2685738728271958
multiscore,0.7296064643247417,0.41266602178581796,0.5057598355131492,0.24941032433906446,0.2563495111740847,0.8185134398546565,0.76057759256383,0.5134761668547959,0.8408617758906486,0.7688628688830393,0.5945842346795546,0.24822461292057366
splitdelta_nojob,0.7339122699809797,0.443756025427626,0.4918930544962927,0.24274557594930066,0.24914747854699207,0.8136510562969412,0.7546533852617139,0.49995083992605127,0.7861257723773812,0.579863487705025,0.5646396018044998,0.22804487285152755
