metric,mean,std
success,0.7290145667674282,0.003847910609448153
objective,0.4113841682531159,0.01959720680935719
balance,0.5046740988165965,0.01012544411946534
inter,0.24663915892068822,0.007700861138088022
intra,0.25803493989590826,0.005890980517743639
lowmid_success,0.8175604478867273,0.0022486830716702618
lowmid_objective,0.7562230713760251,0.016046581999930934
lowmid_balance,0.5140187201708837,0.009987993203157394
conflict_success,0.8476413495427437,0.009253784308947794
conflict_objective,0.8126608603152736,0.03548410306537902
conflict_balance,0.5779045378557008,0.011737031775853023
conflict_intra,0.2540176615422366,0.01661565841075814
