episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
1,train-load-0.7-scenario-25,0.7,0.6069565,0.57329125,0.6069565,11.506134236108002,0.7108247677630571,0.4891752322369429,0.8,0.2,0.7272727272727273,0.2727272727272727,8,2,8,3,11,6,10,8,0.0,0.995,,,,,,,,,,,-1e+18,-1e+18
2,train-load-0.5-scenario-297-retry-1,0.5,0.40625,0.19270833333333334,0.40625,32.30267697110005,1.3182939584541935,0.6817060415458064,1.0,0.0,1.0,0.0,22,0,22,0,22,8,22,22,0.0,0.990025,,,,,,,,,,,-1e+18,-1e+18
3,train-load-0.5-scenario-571,0.5,0.6,0.6,0.15,18.409972297742897,1.1869608517888262,0.8130391482111738,1.0,0.0,1.0,0.0,12,0,12,0,12,8,12,12,0.0,0.985074875,,,,,,,,,,,-1e+18,-1e+18
4,train-load-0.5-scenario-273-retry-1,0.5,0.4,0.16666666666666666,0.4,24.37363030148108,1.2747064553368315,0.7252935446631685,1.0,0.0,1.0,0.0,16,0,16,0,16,8,16,16,0.0,0.9801495006250001,,,,,,,,,,,-1e+18,-1e+18
5,train-load-0.5-scenario-394,0.5,0.473155,0.33069166666666666,0.473155,8.453693102276823,1.2591797230378128,0.7408202769621872,1.0,0.0,1.0,0.0,4,0,4,0,4,4,4,4,0.0,0.9752487531218751,,,,,,,,,,,-1e+18,-1e+18
6,train-load-1.0-scenario-486,1.0,0.9000721666666668,0.4194439583333333,0.9000721666666668,2.9362023041314322,-0.2939573458586634,0.5796716315729491,0.5714285714285714,0.42857142857142855,0.4444444444444444,0.5555555555555556,4,3,4,5,9,6,7,4,0.0,0.9703725093562657,,,,,,,,,,,-1e+18,-1e+18
7,train-load-0.9-scenario-492,0.9,0.875,0.1875,0.875,19.449805316844074,0.8593863491841314,0.6406136508158686,0.875,0.125,0.875,0.125,14,2,14,2,16,6,16,14,0.0,0.9655206468094844,,,,,,,,,,,-1e+18,-1e+18
8,train-load-0.6-scenario-297-retry-2,0.6,0.65,0.65,0.65,13.60627784901978,0.5976183598837524,0.47930471703932465,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.23076923076923078,10,3,10,3,13,8,13,10,0.0,0.960693043575437,,,,,,,,,,,-1e+18,-1e+18
9,train-load-0.5-scenario-371,0.5,0.5714285714285714,0.17142857142857143,0.5714285714285714,11.097896242002964,0.9089653025498006,0.5910346974501994,0.875,0.125,0.875,0.125,7,1,7,1,8,7,8,7,0.0,0.9558895783575597,,,,,,,,,,,-1e+18,-1e+18
10,train-load-0.6-scenario-307,0.6,0.6153772000000001,0.5454866666666667,0.6153772000000001,3.85388397838288,0.008658303651520538,0.6580083630151461,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.2857142857142857,4,2,5,2,7,5,6,4,0.0,0.9511101304657719,,,,,,,,,,,-1e+18,-1e+18
11,train-load-0.7-scenario-87,0.7,0.7982455714285713,0.35117767857142856,0.7982455714285713,11.828868997940043,0.8391832012893937,0.7163723542661617,0.8888888888888888,0.1111111111111111,0.8,0.2,8,1,8,2,10,7,9,8,0.0,0.946354579813443,,,,,,,,,,,-1e+18,-1e+18
12,train-load-0.9-scenario-354,0.9,1.0,1.0,0.4166666666666667,5.449287145230664,-0.18001632677776336,0.5800163267777633,0.6,0.4,0.6,0.4,6,4,6,4,10,6,10,6,0.0,0.9416228069143757,,,,,,,,,,,-1e+18,-1e+18
13,train-load-0.5-scenario-543,0.5,0.5,0.5,0.375,20.06678648112233,1.4840668330665774,0.5159331669334225,1.0,0.0,1.0,0.0,12,0,12,0,12,8,12,12,0.0,0.9369146928798039,,,,,,,,,,,-1e+18,-1e+18
14,train-load-0.6-scenario-619,0.6,0.5979909999999999,0.5979909999999999,0.4335838,9.471410975642723,0.9943507205311932,1.0056492794688068,1.0,0.0,1.0,0.0,6,0,8,0,8,5,6,6,2.299612045288086,0.9322301194154049,,,,,,,,,,,-1e+18,-1e+18
15,train-load-1.0-scenario-476,1.0,0.88616775,0.3945208333333334,0.88616775,9.596486157339406,0.11615697083608778,0.8838430291639122,0.75,0.25,0.7692307692307693,0.23076923076923078,9,3,10,3,13,8,12,9,2.600234031677246,0.9275689688183278,,,,,,,,,,,-1e+18,-1e+18
16,train-load-1.0-scenario-546-retry-7,1.0,0.8916666666666667,0.6833333333333333,0.8916666666666667,23.718932335769384,1.4770141412470763,0.2729858587529236,0.9375,0.0625,0.9375,0.0625,15,1,15,1,16,6,16,15,1.9153274297714233,0.9229311239742362,,,,,,,,,,,-1e+18,-1e+18
17,train-load-0.6-scenario-189,0.6,0.5351126,0.4267533333333333,0.5351126,10.473071418471141,1.195620600399221,0.8043793996007792,1.0,0.0,1.0,0.0,6,0,6,0,6,5,6,6,2.4928183555603027,0.918316468354365,,,,,,,,,,,-1e+18,-1e+18
18,train-load-0.9-scenario-610-retry-11,0.9,1.0,0.6666666666666666,1.0,5.9543412831178255,-0.09374155216767599,0.4937415521676759,0.6,0.4,0.6,0.4,6,4,6,4,10,6,10,6,2.1135709285736084,0.9137248860125932,,,,,,,,,,,-1e+18,-1e+18
19,train-load-0.5-scenario-296-retry-2,0.5,0.5666666666666667,0.5666666666666667,0.36666666666666664,17.334047352660562,1.212751143385013,0.7872488566149869,1.0,0.0,1.0,0.0,11,0,11,0,11,6,11,11,2.1529593467712402,0.9091562615825302,,,,,,,,,,,-1e+18,-1e+18
20,train-load-0.5-scenario-544-retry-2,0.5,0.40476190476190477,0.40476190476190477,0.24285714285714285,26.18487176013223,1.3852520369713002,0.6147479630286998,1.0,0.0,1.0,0.0,17,0,17,0,17,7,17,17,1.0442872047424316,0.9046104802746175,,,,,,,,,,,-1e+18,-1e+18
21,train-load-0.6-scenario-320-retry-2,0.6,0.56,0.4666666666666667,0.56,23.6688575482287,1.5774736619870509,0.42252633801294903,1.0,0.0,1.0,0.0,14,0,14,0,14,5,14,14,1.870141625404358,0.9000874278732445,,,,,,,,,,,-1e+18,-1e+18
22,train-load-0.8-scenario-593-retry-3,0.8,0.8571428571428571,0.09523809523809523,0.8571428571428571,-1.627904142841445,-1.2357511842344342,0.7357511842344342,0.375,0.625,0.375,0.625,3,5,3,5,8,7,8,3,1.4519872665405273,0.8955869907338783,,,,,,,,,,,-1e+18,-1e+18
23,train-load-0.5-scenario-112,0.5,0.4381655,0.228914375,0.4381655,8.992481965792516,1.3204017436784228,0.6795982563215771,1.0,0.0,1.0,0.0,4,0,4,0,4,4,4,4,1.8983628749847412,0.8911090557802088,,,,,,,,,,,-1e+18,-1e+18
24,train-load-0.6-scenario-480,0.6,0.6797604166666668,0.6797604166666668,0.49096775000000004,7.4070586245758205,0.8061274555534793,0.3938725444465207,0.8,0.2,0.8333333333333334,0.16666666666666666,4,1,5,1,6,4,5,4,2.1656806468963623,0.8866535105013078,,,,,,,,,,,-1e+18,-1e+18
25,train-load-0.5-scenario-692,0.5,0.40625,0.1625,0.40625,21.318975968295526,1.4565331676280975,0.5434668323719025,1.0,0.0,1.0,0.0,13,0,13,0,13,8,13,13,0.975212037563324,0.8822202429488013,,,,,,,,,,,-1e+18,-1e+18
26,train-load-0.9-scenario-585-retry-1,0.9,1.0,0.2,1.0,2.6526887438754256,-0.638444407451005,0.638444407451005,0.5,0.5,0.5,0.5,5,5,5,5,10,5,10,5,1.044177770614624,0.8778091417340573,,,,,,,,,,,-1e+18,-1e+18
27,train-load-0.5-scenario-722,0.5,0.590890125,0.32226062499999997,0.590890125,8.628432213081178,0.6292111769158227,0.7993602516556058,0.8571428571428571,0.14285714285714285,0.8,0.2,6,1,8,2,10,8,7,6,0.75669264793396,0.8734200960253871,,,,,,,,,,,-1e+18,-1e+18
28,train-load-1.0-scenario-401,1.0,0.9287875000000001,0.5972760416666667,0.9287875000000001,8.531180191970327,0.06751393955898854,0.5991527271076781,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,8,4,8,4,12,6,12,8,0.7232022285461426,0.8690529955452602,,,,,,,,,,,-1e+18,-1e+18
29,train-load-0.8-scenario-134,0.8,0.8785714285714286,0.8095238095238095,0.8785714285714286,6.9030824174736,-0.045675009029821356,0.5911295544843668,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.36363636363636365,7,4,7,4,11,7,11,7,1.1377439498901367,0.8647077305675338,,,,,,,,,,,-1e+18,-1e+18
30,train-load-0.9-scenario-18,0.9,0.8137455,0.5517440972222222,0.8137455,14.16534476825768,1.0760286864994564,0.5239713135005437,0.9,0.1,0.9090909090909091,0.09090909090909091,9,1,10,1,11,6,10,9,0.5817645788192749,0.8603841919146962,,,,,,,,,,,-1e+18,-1e+18
31,train-load-0.8-scenario-262,0.8,0.69874175,0.6619752604166667,0.69874175,15.101401692558687,0.7510610712288397,0.6335543133865449,0.8461538461538461,0.15384615384615385,0.8666666666666667,0.13333333333333333,11,2,13,2,15,8,13,11,1.3907639980316162,0.8560822709551227,,,,,,,,,,,-1e+18,-1e+18
32,train-load-0.7-scenario-153-retry-3,0.7,0.8,0.6666666666666666,0.8,7.918319795315333,0.4561604915966331,0.5438395084033669,0.75,0.25,0.75,0.25,6,2,6,2,8,4,8,6,1.6723463535308838,0.851801859600347,,,,,,,,,,,-1e+18,-1e+18
33,train-load-0.7-scenario-739,0.7,0.6758273749999999,0.5602240625,0.6758273749999999,16.3452872332816,0.7712781144239952,0.6572933141474332,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.14285714285714285,12,2,12,2,14,8,14,12,1.419716477394104,0.8475428503023453,,,,,,,,,,,-1e+18,-1e+18
34,train-load-0.9-scenario-183,0.9,0.8072819999999999,0.44180583333333334,0.8072819999999999,11.253924036741042,0.9259515621456802,0.5740484378543197,0.875,0.125,0.8,0.2,7,1,8,2,10,6,8,7,0.9018281698226929,0.8433051360508336,,,,,,,,,,,-1e+18,-1e+18
35,train-load-0.9-scenario-656-retry-3,0.9,0.8,0.8,0.6,23.227494437366467,1.1059535609504234,0.4496019946051322,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1111111111111111,16,2,16,2,18,6,18,16,1.1073225736618042,0.8390886103705794,,,,,,,,,,,-1e+18,-1e+18
36,train-load-0.5-scenario-601-retry-9,0.5,0.6,0.48,0.6,21.92423310256499,1.784836178435456,0.21516382156454394,1.0,0.0,1.0,0.0,12,0,12,0,12,5,12,12,0.7202889919281006,0.8348931673187264,,,,,,,,,,,-1e+18,-1e+18
37,train-load-0.9-scenario-612-retry-2,0.9,0.83985925,0.768653125,0.83985925,17.512003396500244,0.7804535085882265,0.4695464914117735,0.8125,0.1875,0.8235294117647058,0.17647058823529413,13,3,14,3,17,8,16,13,0.638009786605835,0.8307187014821328,,,,,,,,,,,-1e+18,-1e+18
38,train-load-0.7-scenario-567-retry-3,0.7,0.8,0.2222222222222222,0.8,8.313867374716066,0.47682247664446076,0.5231775233555392,0.75,0.25,0.75,0.25,6,2,6,2,8,6,8,6,0.887554407119751,0.8265651079747222,,,,,,,,,,,-1e+18,-1e+18
