load_bucket,DQN,Random,Binpack(mem-desc),Spread(mem-asc),Index-desc,Greedy-balance,Greedy-objective
0.4,0.19859250395124012,0.20888056352638143,0.18827053115119421,0.22330920410397156,0.20848732888793858,0.17841671346609148,0.17841671346609148
0.5,0.24437786300955433,0.24681755494959218,0.251762263135895,0.25462661628888106,0.25345785580387964,0.2027878682314305,0.2135908904091038
0.6,0.24975320116650362,0.25602437743731715,0.2561080992271752,0.2607861025029338,0.27025635739379184,0.22908410364581386,0.23243533378151376
0.7,0.2513393482589037,0.2599874286924011,0.25661067060687176,0.2615749465466253,0.2627380297674966,0.21941267862609884,0.22209148660868458
0.8,0.27384886938801645,0.2723720572390857,0.2769065277546353,0.2695061742417564,0.277573254617443,0.23282096504664593,0.24154341528423742
0.9,0.28727204343830814,0.29140713679826336,0.29177549243026446,0.27969573323835856,0.2853134062539782,0.2419911685346668,0.2535603561150469
1.0,0.24599285512595442,0.25570228004197343,0.2564808612810557,0.25113422180837225,0.2549683234274452,0.21794084178650344,0.22193586861091646
1.1,0.24533910328846226,0.2552511175298865,0.25533360610837563,0.2614266946393583,0.2580086372415566,0.22680852470437865,0.22816186438342137
1.2,0.2499881094836617,0.2662478656519772,0.25961592566112723,0.2604002522551209,0.2654492694947421,0.21579220675778615,0.22376494640257327
1.3,0.23178697427483996,0.23690007547672629,0.24335596772107804,0.24789598560107567,0.2440313632901481,0.1990343174521871,0.2094997109234228
1.4,0.28023213564688393,0.2769224037018149,0.288560801948069,0.27115013808832744,0.27937289499560236,0.21435459534666337,0.22340024864985863
