method,success,failure,objective,balance,inter,intra,lowmid_objective,conflict_objective,conflict_success
DQN,0.7337829283533992,0.2662170716466008,0.4404908960164923,0.4946408173971044,0.24009918966949803,0.2545416277276063,0.7781767964798072,0.8397592506846813,0.8508950778835462
Random,0.7256716026330164,0.27432839736698367,0.36267893087417996,0.5400074796578854,0.2787865752054649,0.2612209044524205,0.6896051946376553,0.5593813284983652,0.8054433207531793
Binpack(mem-desc),0.7278203706603545,0.27217962933964535,0.33714131744356923,0.5741401651978493,0.3124568827420336,0.26168328245581557,0.65478043164528,0.5990538241368878,0.8182131127164523
Spread(mem-asc),0.7222225517402264,0.2777774482597735,0.37254455324981367,0.5163456537110921,0.2551062319887873,0.26123942172230485,0.6961979226891968,0.5862380034609945,0.7996777265340074
Index-desc,0.7276584363773333,0.27234156362266665,0.3454984377052398,0.5651353078040933,0.3007309473671082,0.2644043604369851,0.670343171882556,0.5962849394862378,0.8184655767677473
Greedy-balance,0.6972971348581508,0.30270286514184924,0.3332079096415123,0.4559806297910906,0.23426061813136695,0.22172001165972366,0.640605384698894,0.4223760078778908,0.7196866421824679
Greedy-objective,0.7099401944074412,0.29005980559255884,0.36604519426073273,0.47371558336903186,0.24580171959241542,0.22791386377661638,0.6787878814562208,0.556642784086916,0.7589393728182123
