load_bucket,DQN,Random,Binpack(mem-desc),Spread(mem-asc),Index-desc,Greedy-balance,Greedy-objective
0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.9976190476190476,0.9857993197278913,0.9952380952380951,0.979251700680272,0.986904761904762,0.9438492063492063,0.9627645502645502
0.6,0.9518643578643577,0.944840798090798,0.9489080086580087,0.9394602064602064,0.9474082584082584,0.9041139138639138,0.9166179931179932
0.7,0.8617861792117639,0.8508817320564308,0.8607876728358655,0.8409228941386986,0.8674489116285715,0.8120130558472161,0.8227791973362492
0.8,0.7967236644007131,0.7890503600362322,0.7848715595339023,0.77212840671722,0.7900722003963079,0.7455601628695644,0.7622982042399586
0.9,0.6966170790064632,0.6830075676028342,0.6871297792405258,0.6873917824591852,0.6908894952801583,0.6535574219452582,0.667326675567453
1.0,0.6585587356979032,0.6459880184035016,0.6472677860233722,0.6494310614715446,0.6434527209714651,0.6234723666893374,0.6361285842957838
1.1,0.6279225912199491,0.6238533965359822,0.6212830578046526,0.62206531009951,0.6210149264650927,0.6068715039547973,0.6180614892524782
1.2,0.5775635215302242,0.5775149709022542,0.5778744699743136,0.5758547463523171,0.570452167015075,0.5544351889961843,0.5634315134118114
1.3,0.5492645514958469,0.5409203291834441,0.5452067064687806,0.5435267620937364,0.5455825523804112,0.5285521347792457,0.5412356087412715
1.4,0.48350501013865715,0.4727669120487804,0.47438482275760024,0.47380762218039957,0.4741443225171,0.4652977398068809,0.4796878530606305
