load_bucket,DQN,Random,Binpack(mem-desc),Spread(mem-asc),Index-desc,Greedy-balance,Greedy-objective
0.4,0.436339290844195,0.6383541294436983,0.8182773731994364,0.4746949725097336,0.7860634320540103,0.368730605625075,0.368730605625075
0.5,0.5359694513661205,0.6324948537100719,0.7693714154912761,0.5643453070944544,0.7336676568411387,0.46443484798394746,0.4785944737089303
0.6,0.49547616255613547,0.5765341874577521,0.6572808598734793,0.5334187328196719,0.6506644706343885,0.4596070475528959,0.4752256102584272
0.7,0.49009805393317724,0.5323744410176836,0.5430172820839602,0.52851727324682,0.5417451566794399,0.4631435021811326,0.4680219198853002
0.8,0.5228846811618677,0.5421228102904034,0.5753744489623083,0.5331270623286369,0.5728257045785825,0.47433804518716294,0.4924636499213472
0.9,0.5317479487904161,0.566756754924445,0.5874927438890247,0.5276872461549651,0.5692132444853455,0.4935524147197634,0.5140644075374374
1.0,0.48934050238120846,0.518230738396532,0.5330031047157511,0.4970139831435918,0.5225967281957555,0.4561186468069209,0.47722572110160416
1.1,0.4764735277734274,0.5016989769520722,0.5121790956055958,0.510280162725597,0.5060163406488555,0.4528591003377002,0.4759457459302363
1.2,0.45773588399613374,0.5191131084268821,0.5178325103677027,0.4893552210764549,0.5235978316110543,0.4352779700050205,0.4569119979019515
1.3,0.4640877767503478,0.49835906405452723,0.5163485374846178,0.4926982383638759,0.5063361461768028,0.4319513863591837,0.45441178062198084
1.4,0.5200666937420869,0.5232194232735716,0.5655446178030671,0.5017973202269337,0.5375030763791179,0.41070149949840323,0.4262614274448291
