variant,success,objective,balance,inter,intra,lowmid_success,lowmid_objective,lowmid_balance,conflict_success,conflict_objective,conflict_balance,conflict_intra
base_totaldelta_nojob,0.7326063007746836,0.4312870793781822,0.4991381237205525,0.2485909628394872,0.2505471608810652,0.8132983970597205,0.7428025930584714,0.5103909951804099,0.7854784328255472,0.580793821415063,0.5611199098871262,0.2240559943973798
final_trainrerank,0.7337829283533992,0.4404908960164923,0.4946408173971044,0.240099189669498,0.2545416277276063,0.8208640481551044,0.7781767964798072,0.5052793961406103,0.8508950778835462,0.8397592506846813,0.5638210608495037,0.2433082988467029
jobfeatures,0.7267293802412307,0.4157197368643955,0.4911977841005272,0.2335210569742563,0.2576767271262708,0.8145424996125762,0.7590040409126001,0.499165957537704,0.8208366554789661,0.7042567928616151,0.5790898290542488,0.2685738728271958
multiscore,0.7296064643247417,0.4126660217858179,0.5057598355131492,0.2494103243390644,0.2563495111740847,0.8185134398546565,0.76057759256383,0.5134761668547959,0.8408617758906486,0.7688628688830393,0.5945842346795546,0.2482246129205736
splitdelta_nojob,0.7339122699809797,0.443756025427626,0.4918930544962927,0.2427455759493006,0.249147478546992,0.8136510562969412,0.7546533852617139,0.4999508399260512,0.7861257723773812,0.579863487705025,0.5646396018044998,0.2280448728515275
