load,dqn_objective,best_baseline_objective,objective_margin,best_objective_baseline,dqn_success,best_baseline_success,success_margin,dqn_balance,best_baseline_balance,balance_margin_lower_better,best_balance_baseline
0.4,1.563660709155805,1.631269394374925,-0.06760868521912,Greedy-balance,1.0,1.0,0.0,0.436339290844195,0.368730605625075,-0.06760868521912,Greedy-balance
0.5,1.45450673911007,1.3724637273492708,0.08204301176079909,Greedy-objective,0.9976190476190476,0.9952380952380951,0.0023809523809524835,0.5359694513661205,0.46443484798394746,-0.07153460338217305,Greedy-balance
0.6,1.311981268901296,1.224422093021154,0.08755917588014195,Spread(mem-asc),0.9518643578643577,0.9489080086580087,0.002956349206349018,0.49547616255613547,0.4596070475528959,-0.03586911500323958,Greedy-balance
0.7,0.9570466629138783,0.928050489834846,0.02899617307903235,Index-desc,0.8617861792117639,0.8674489116285715,-0.005662732416807592,0.49009805393317724,0.4631435021811326,-0.026954551752044642,Greedy-balance
0.8,0.6640099764409843,0.6140786298545252,0.049931346586459036,Random,0.7967236644007131,0.7900722003963079,0.006651464004405194,0.5228846811618677,0.47433804518716294,-0.048546635974704766,Greedy-balance
0.9,0.2547203672354368,0.22187988368177589,0.0328404835536609,Spread(mem-asc),0.6966170790064632,0.6908894952801583,0.005727583726304886,0.5317479487904161,0.4935524147197634,-0.03819553407065268,Greedy-balance
1.0,0.1448944404104041,0.10071026274258699,0.044184177667817126,Spread(mem-asc),0.6585587356979032,0.6494310614715446,0.009127674226358629,0.48934050238120846,0.4561186468069209,-0.033221855574287584,Greedy-balance
1.1,0.03521683710636884,-0.0036997889203234007,0.03891662602669224,Greedy-objective,0.6279225912199491,0.6238533965359822,0.004069194683966937,0.4764735277734274,0.4528591003377002,-0.02361442743572717,Greedy-balance
1.2,-0.14748179787523719,-0.18593623566718628,0.0384544377919491,Spread(mem-asc),0.5775635215302242,0.5778744699743136,-0.00031094844408940947,0.45773588399613374,0.4352779700050205,-0.022457913991113243,Greedy-balance
1.3,-0.26702957076696043,-0.2894693456568947,0.02243977488993426,Greedy-objective,0.5492645514958469,0.5455825523804112,0.0036819991154356524,0.4640877767503478,0.4319513863591837,-0.032136390391164116,Greedy-balance
1.4,-0.5860466531874584,-0.5075100152023071,-0.07853663798515131,Greedy-objective,0.48350501013865715,0.4796878530606305,0.003817157078026656,0.5200666937420869,0.41070149949840323,-0.10936519424368368,Greedy-balance
