load_bucket,DQN,Random,Binpack(mem-desc),Spread(mem-asc),Index-desc,Greedy-balance,Greedy-objective
0.4,0.23774678689295484,0.4294735659173168,0.6300068420482421,0.251385768405762,0.5775761031660717,0.19031389215898348,0.19031389215898348
0.5,0.29159158835656623,0.3856772987604795,0.517609152355381,0.30971869080557335,0.48020980103725897,0.2616469797525169,0.26500358329982643
0.6,0.2457229613896318,0.32050981002043494,0.401172760646304,0.27263263031673796,0.38040811324059653,0.23052294390708197,0.24279027647691337
0.7,0.2387587056742735,0.2723870123252824,0.28640661147708835,0.2669423267001946,0.2790071269119433,0.2437308235550337,0.24593043327661557
0.8,0.24903581177385123,0.2697507530513177,0.29846792120767285,0.2636208880868805,0.2952524499611395,0.24151708014051698,0.2509202346371097
0.9,0.2444759053521079,0.2753496181261816,0.2957172514587602,0.24799151291660648,0.28389983823136716,0.25156124618509657,0.2605040514223904
1.0,0.24334764725525396,0.26252845835455857,0.2765222434346953,0.24587976133521955,0.2676284047683103,0.23817780502041735,0.25528985249068764
1.1,0.23113442448496507,0.24644785942218564,0.2568454894972202,0.2488534680862385,0.24800770340729889,0.2260505756333215,0.24778388154681488
1.2,0.20774777451247198,0.2528652427749047,0.2582165847065754,0.22895496882133395,0.2581485621163122,0.21948576324723432,0.23314705149937823
1.3,0.2323008024755078,0.2614589885778009,0.27299256976353975,0.2448022527628002,0.26230478288665465,0.23291706890699648,0.244912069698558
1.4,0.23983455809520302,0.24629701957175662,0.27698381585499804,0.23064718213860622,0.2581301813835155,0.19634690415173978,0.20286117879497037
