load_bucket,DQN,Random,Binpack(mem-desc),Spread(mem-asc),Index-desc,Greedy-balance,Greedy-objective
0.4,1.563660709155805,1.3616458705563017,1.1817226268005636,1.5253050274902664,1.2139365679459897,1.631269394374925,1.631269394374925
0.5,1.45450673911007,1.3107024252014927,1.211580965461105,1.3526614956266338,1.213951390777909,1.310961977412878,1.3724637273492708
0.6,1.311981268901296,1.2028290049054402,1.1383511747585553,1.224422093021154,1.1389685629986452,1.1568486079027596,1.1912463622135454
0.7,0.9570466629138783,0.8711524872080398,0.9001334092595022,0.8351743033079743,0.928050489834846,0.7849087212077315,0.823094869459696
0.8,0.6640099764409843,0.6140786298545252,0.5641117891733008,0.5553865645402432,0.5874630970066488,0.5079026062910946,0.5567291670384877
0.9,0.2547203672354368,0.1652735154868917,0.161026373073078,0.22187988368177589,0.19434473663528762,0.12067727306126927,0.15524229473237447
1.0,0.1448944404104041,0.06572133521747454,0.05606803937773788,0.10071026274258699,0.05121415569010483,0.037770819950428525,0.06728861608153096
1.1,0.03521683710636884,-0.006285390808143602,-0.027046864386985007,-0.022018922327556714,-0.0219566347884843,-0.025373084518511318,-0.0036997889203234007
1.2,-0.14748179787523719,-0.20905322481786506,-0.20633463047044825,-0.18593623566718628,-0.2417891635507546,-0.2175372140202835,-0.20318594425470596
1.3,-0.26702957076696043,-0.33467774732075073,-0.3355217116094957,-0.3185911899889305,-0.324005936655158,-0.3177428472422009,-0.2894693456568947
1.4,-0.5860466531874584,-0.63215177507845,-0.6680053267726662,-0.6065668315053351,-0.6409257863107181,-0.5495105402708796,-0.5075100152023071
