episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
1,train-hard-4gpu-4pod-2vgpu,0.25,0.25,0.16666666666666666,0.25,11.587203884117226,1.9166666666666665,0.08333333333333337,1.0,0.0,1.0,0.0,4,0,8,0,8,4,4,4,0.0,0.995,,,,,,,,,,,-1e+18,-1e+18
2,train-load-1.0-scenario-99-retry-1,1.0,0.9339352,0.6118933333333333,0.9339352,5.794807944793979,-0.042821155069204475,0.7094878217358711,0.6666666666666666,0.3333333333333333,0.7,0.3,6,3,7,3,10,5,9,6,0.0,0.990025,,,,,,,,,,,-1e+18,-1e+18
3,train-load-0.9-scenario-146-retry-4,0.9,0.8571428571428571,0.8571428571428571,0.5142857142857142,18.644620919798193,0.7259140270158693,0.3851970840952418,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2222222222222222,14,4,14,4,18,7,18,14,0.0,0.985074875,,,,,,,,,,,-1e+18,-1e+18
4,train-load-1.0-scenario-450-retry-7,1.0,1.0285714285714285,0.8571428571428571,1.0285714285714285,14.202381892868356,0.313916020044401,0.35275064662226563,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,12,6,12,6,18,7,18,12,0.0,0.9801495006250001,,,,,,,,,,,-1e+18,-1e+18
5,train-load-0.8-scenario-79,0.8,0.75,0.75,0.75,23.01563378955518,1.5137825388522883,0.2195507944810451,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.06666666666666667,14,1,14,1,15,5,15,14,0.0,0.9752487531218751,,,,,,,,,,,-1e+18,-1e+18
6,train-load-0.7-scenario-130,0.7,0.6178597142857143,0.2649208333333333,0.6178597142857143,8.630133020470875,1.097579800670312,0.902420199329688,1.0,0.0,1.0,0.0,5,0,8,0,8,7,5,5,0.0,0.9703725093562657,,,,,,,,,,,-1e+18,-1e+18
7,train-load-0.8-scenario-605,0.8,0.7321888571428571,0.585722619047619,0.7321888571428571,10.148711336755227,0.523101722596563,0.6768982774034371,0.8,0.2,0.8461538461538461,0.15384615384615385,8,2,11,2,13,7,10,8,0.0,0.9655206468094844,,,,,,,,,,,-1e+18,-1e+18
8,train-load-0.8-scenario-7,0.8,0.7055102857142856,0.47708,0.7055102857142856,13.760242528300394,0.9895661546550305,0.6104338453449696,0.9,0.1,0.9166666666666666,0.08333333333333333,9,1,11,1,12,7,10,9,0.0,0.960693043575437,,,,,,,,,,,-1e+18,-1e+18
9,train-load-1.0-scenario-648-retry-6,1.0,0.9666666666666667,0.20833333333333334,0.9666666666666667,8.645563936705255,0.5662684710741845,0.9337315289258155,0.875,0.125,0.7777777777777778,0.2222222222222222,7,1,7,2,9,6,8,7,0.0,0.9558895783575597,,,,,,,,,,,-1e+18,-1e+18
10,train-load-0.8-scenario-741,0.8,0.7239125,0.4965713541666667,0.7239125,16.044882917973784,0.8753050123706564,0.8170026799370359,0.9230769230769231,0.07692307692307693,0.9230769230769231,0.07692307692307693,12,1,12,1,13,8,13,12,0.0,0.9511101304657719,,,,,,,,,,,-1e+18,-1e+18
