episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
21,train-load-0.6-scenario-320-retry-2,0.6,0.56,0.4666666666666667,0.56,23.674248372251853,1.5774736619870509,0.42252633801294903,1.0,0.0,1.0,0.0,14,0,14,0,14,5,14,14,1.3316313028335571,0.9000874278732445,,,,,,,,,,,-1e+18,-1e+18
22,train-load-0.8-scenario-593-retry-3,0.8,0.8571428571428571,0.09523809523809523,0.8571428571428571,-1.9123434230171161,-1.2357511842344342,0.7357511842344342,0.375,0.625,0.375,0.625,3,5,3,5,8,7,8,3,1.2748661041259766,0.8955869907338783,,,,,,,,,,,-1e+18,-1e+18
23,train-load-0.5-scenario-112,0.5,0.4381655,0.228914375,0.4381655,8.80650947277934,1.3204017436784228,0.6795982563215771,1.0,0.0,1.0,0.0,4,0,4,0,4,4,4,4,1.5685670375823975,0.8911090557802088,,,,,,,,,,,-1e+18,-1e+18
24,train-load-0.6-scenario-480,0.6,0.6797604166666668,0.6797604166666668,0.49096775000000004,7.256079926414115,0.8061274555534793,0.3938725444465207,0.8,0.2,0.8333333333333334,0.16666666666666666,4,1,5,1,6,4,5,4,1.7358076572418213,0.8866535105013078,,,,,,,,,,,-1e+18,-1e+18
25,train-load-0.5-scenario-692,0.5,0.40625,0.1625,0.40625,21.111223147087856,1.4565331676280975,0.5434668323719025,1.0,0.0,1.0,0.0,13,0,13,0,13,8,13,13,1.0316014289855957,0.8822202429488013,,,,,,,,,,,-1e+18,-1e+18
26,train-load-0.9-scenario-585-retry-1,0.9,1.0,0.2,1.0,2.3675590098581503,-0.638444407451005,0.638444407451005,0.5,0.5,0.5,0.5,5,5,5,5,10,5,10,5,1.0074001550674438,0.8778091417340573,,,,,,,,,,,-1e+18,-1e+18
27,train-load-0.5-scenario-722,0.5,0.590890125,0.32226062499999997,0.590890125,8.488029768820413,0.6292111769158227,0.7993602516556058,0.8571428571428571,0.14285714285714285,0.8,0.2,6,1,8,2,10,8,7,6,0.9166041612625122,0.8734200960253871,,,,,,,,,,,-1e+18,-1e+18
28,train-load-1.0-scenario-401,1.0,0.9287875000000001,0.5972760416666667,0.9287875000000001,8.341631371966065,0.06751393955898854,0.5991527271076781,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,8,4,8,4,12,6,12,8,0.9879553914070129,0.8690529955452602,,,,,,,,,,,-1e+18,-1e+18
29,train-load-0.8-scenario-134,0.8,0.8785714285714286,0.8095238095238095,0.8785714285714286,6.730000748987878,-0.045675009029821356,0.5911295544843668,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.36363636363636365,7,4,7,4,11,7,11,7,1.287319540977478,0.8647077305675338,,,,,,,,,,,-1e+18,-1e+18
30,train-load-0.9-scenario-18,0.9,0.8137455,0.5517440972222222,0.8137455,14.034422812735883,1.0760286864994564,0.5239713135005437,0.9,0.1,0.9090909090909091,0.09090909090909091,9,1,10,1,11,6,10,9,0.7976807355880737,0.8603841919146962,,,,,,,,,,,-1e+18,-1e+18
31,train-load-0.8-scenario-262,0.8,0.69874175,0.6619752604166667,0.69874175,14.975418964453675,0.7510610712288397,0.6335543133865449,0.8461538461538461,0.15384615384615385,0.8666666666666667,0.13333333333333333,11,2,13,2,15,8,13,11,1.1996712684631348,0.8560822709551227,,,,,,,,,,,-1e+18,-1e+18
32,train-load-0.7-scenario-153-retry-3,0.7,0.8,0.6666666666666666,0.8,7.8183197953153325,0.4561604915966331,0.5438395084033669,0.75,0.25,0.75,0.25,6,2,6,2,8,4,8,6,1.483649730682373,0.851801859600347,,,,,,,,,,,-1e+18,-1e+18
33,train-load-0.7-scenario-739,0.7,0.6758273749999999,0.5602240625,0.6758273749999999,16.175468881958,0.7712781144239952,0.6572933141474332,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.14285714285714285,12,2,12,2,14,8,14,12,1.0591577291488647,0.8475428503023453,,,,,,,,,,,-1e+18,-1e+18
34,train-load-0.9-scenario-183,0.9,0.8072819999999999,0.44180583333333334,0.8072819999999999,11.172312293587684,0.9259515621456802,0.5740484378543197,0.875,0.125,0.8,0.2,7,1,8,2,10,6,8,7,1.5394712686538696,0.8433051360508336,,,,,,,,,,,-1e+18,-1e+18
35,train-load-0.9-scenario-656-retry-3,0.9,0.8,0.8,0.6,23.102834679961305,1.1059535609504234,0.4496019946051322,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1111111111111111,16,2,16,2,18,6,18,16,0.9041649103164673,0.8390886103705794,,,,,,,,,,,-1e+18,-1e+18
